source_file,page,ramo,tipo_cobertura,poliza_no,certificado_no,inicio_vigencia,fin_vigencia,asegurado,propietario,nit,direccion,marca,chasis,linea,pasajeros,modelo,clase,placa,motor,color,forma_pago,moneda,ocr_ok
1943853451942.pdf,7,Automóvil,ertura: Todo Riesgo,AUTO - 371708,471,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"d0: PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD! Descripción del Vehículo",,,,GREAT,1GRAAD628GE,,,,OTROS,,,BLANCO,EFECTO,,True
1943853451942.pdf,8,Automóvi,,,472,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo","PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD",,3 AVENIDA 13-78 -2ZONA 10.GUATEMALA-GUATEMALA- GUATEMALA Color: BLANCO,GREAT,1GRAA9624G8709713,,,,OTROS,,,BLANCO,EFECTIVO,,True
1943853451942.pdf,9,Automóvil,ertura: Todo Riesgo,AUTO - 371708,473,01/04/2025,31/01/2026 1200 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",,,KM. 25.5 CARRETERA A EL SALVADOR FRALJANES -SIN ZONA-GUATEMALA-GUATEMALA-GUATEMALA Color: PLATEADO METALICO,ISUZU,MPATFS40JT,,,2020,,,evszoo,PLATEADO METALICO,,,True
1943853451942.pdf,10,Automóvil,ertura: Todo Riesgo,AUTO - 371708,474,,31/01/2026 1200 A 12:00 HRS,"! d0: PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo","PRODUCTOS LACTEOS DE CENTROMERCA, SOCIEDAD lismee:isecocconmaso [Masajeroara |",,3 AVENIDA 13.78 -ZONA 10-GUATEMALA.GUATEMALA. GUATEMALA Color: BLANCO,HNO,JHHAS,,,,,,,BLANCO,,,True
1943853451942.pdf,11,Automóvil,ertura: Todo Riesgo,AUTO - 371708,475,30/09/2025,31/01/2026 12:00 A 12:00 HRS,> Deducible 7],,,3RA AVENIDA 13-78 EDIFICIO CITIGROUP APTO JOFICINA N17 EDIFICIO CITIGROUP -ZONA 1O.GUATEMALA- GUATEMALA. | Color: BLANCO Y CALCOMANÍA MULTICOLOR,SUZUKI,MAJ0TOSB0S0E,,,2025,,,,BLANCO Y CALCOMANÍA MULTICOLOR,,QUETZALES,True
1943853451942.pdf,12,Automóvil,ertura: Todo Riesgo,AUTO - 371708,476,,31/01/2026 1200 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo","PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD",,,SUZUKI,MAJO,,,,,,,sLanco y caucomantamancoros,EFECTO,,True
1943853451943.pdf,1,Automóvi,,,402,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMÉRICA, SOCIEDAD] Descripción del Vehículo",MDUSTRASLACTEAS SA llinee:sucoio [pasajeros] |,,,,,,,,,,721606,,,QUETZALES,True
1943853451943.pdf,2,Automovil,ertura: Todo Riesgo,,,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo","INDUSTRIAS LACTEAS, SA lime: smuicorio Ipasejereera |",,,Suzu,JAAMKR6G6EK7100053,,,,,,,,,,True
1943853451943.pdf,3,Automovi,,,,31/01/2025,31/01/2026 12:00 A 1200 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",DDUSTRAS LACTEAS SA Lines: Sa uooELO pasajeros: |,,,ISUZU,JAANKREGEK7100052,,,,,,,,,,True
1943853451943.pdf,4,Automóvi,,,405,31/01/2025,31/01/2026 12:00 A 12:00 HRS,"PRODUCTOS LACTEOS DE CENTROAMERICA, SOCIEDAD] Descripción del Vehículo",DDUSTRRAS LACTERS SA Lines: 301 MDOELO Imuseteresso |,,,,,,,,,,,,,QUETZALES,True
